Lfd. Nr.,Code,Researchers,Language,Date,Start,End,Check,4,7,9,13,15,19,22,24,28,30,34,37,39,43,45,49,52,54,58,60,64,67,69,73,75,79,82,84,88,90,94,97,99,103,105,109,112,114,117,119,Comments
0,346IO,ABR/JS/AS,S,15.05.2023,12:17:00,12:29:00,NW/ASS,6,6,3,7,6,7,7,7,7,5,3,6,7,7,7,7,6,5,7,3,7,7,7,4,6,7,7,7,2,7,7,6,6,3,6,7,7,7,7,4,NA
1,346OL,ABR/JS/AS,S,15.05.2023,12:16:00,12:29:00,NW/ASS,7,6,2,5,3,7,7,3,7,6,7,3,7,7,7,7,6,7,7,1,6,7,7,7,7,7,7,7,5,7,7,7,7,1,7,7,7,7,7,7,NA
2,000NE,ABR/JS/AS,S,15.05.2023,12:55:00,13:04:00,NW/ASS,7,4,1,5,3,6,4,1,7,1,3,3,7,4,3,1,4,1,7,1,3,6,1,7,6,7,5,7,2,7,6,7,7,1,1,7,5,7,7,1,Muchas de estas oraciones son correctas gramaticalmente pero no tienen sentido. 
3,UAI23,ABR/JS/AS,S,15.05.2023,12:55:00,13:03:00,NW/ASS,7,7,3,6,1,7,6,4,7,2,6,1,7,4,7,3,4,3,6,1,6,5,2,3,6,7,4,7,7,6,3,3,3,1,5,7,2,7,6,5,Hay que relacionar mejor las palabras para que las frases tengan mas sentido. 
4,RF107,ABR/JS/AS,S,15.05.2023,13:00:00,13:09:00,NW/ASS,7,7,2,4,2,7,4,2,3,1,5,2,3,3,4,2,4,2,6,2,5,3,3,5,4,7,4,5,6,6,5,4,6,2,2,4,4,4,5,4,NA
5,AS303,ABR/JS/AS,S,15.05.2023,13:00:00,13:08:00,NW/ASS,7,4,1,2,2,7,5,2,7,1,5,1,7,6,3,3,4,3,6,1,6,6,1,5,6,6,7,5,4,6,4,5,6,4,1,7,7,7,2,5,NA
6,AM013,ABR/JS/AS,S,15.05.2023,13:00:00,13:07:00,NW/ASS,6,5,3,5,2,6,5,5,4,4,4,4,6,3,3,5,3,3,5,4,4,2,2,6,6,6,5,3,4,4,3,6,6,2,2,2,6,7,3,3,Puntaba en función de la gramática de los phrases: malas si no estaban bien conjugadas y buenas si estaban bien conjugadas. 
7,282LT,ABR/JS/AS,S,15.05.2023,12:55:00,13:02:00,NW/ASS,7,7,2,7,1,7,7,1,7,2,7,1,7,1,7,1,6,6,7,3,7,7,3,7,6,5,7,7,7,7,7,7,6,3,1,7,7,7,7,7,"Muchas frases no tienen concordancia. Como -> oir una menzana, está bien escrita pero no tiene sentido. Porque las manzanas no se oyen. "
8,460MM,ABR/JS/AS/SG,E,15.05.2023,16:55:00,17:05:00,AS,7,4,1,6,3,7,7,7,7,1,7,1,7,7,7,1,7,4,7,1,7,1,1,7,7,7,7,7,3,7,7,2,7,1,1,7,7,7,5,7,"Es demasiado largo. Al principio es entretenido aunque a medida que avanzo, voy perdiendo la atención ."
9,4322AC,ABR/JS/AS/SG,S,15.05.2023,16:54:00,17:02:00,AS,6,7,2,3,1,7,3,5,7,2,6,2,7,7,7,1,4,7,7,1,3,6,5,7,4,5,6,7,2,6,1,1,1,1,1,2,6,7,6,3,"""=)"""
10,164EU,ABR/JS/AS/SG,S,15.05.2023,16:15:00,16:25:00,AS,7,6,1,7,X,7,7,4,7,3,7,2,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,6,6,7,2,7,7,7,7,7,7,NA
11,123AO1,SG/AS/ASS/DS,E,18.05.2023,11:51:00,12:02:00,ABR/JS,7,7,4,7,2,7,7,4,7,4,7,5,7,7,7,5,6,7,7,6,4,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,NA
12,321UU,SG/AS/ASS/DS,E,18.05.2023,11:51:00,12:01:00,ABR/JS,6,6,2,6,3,7,6,3,6,1,6,3,7,5,7,3,6,4,7,4,7,7,3,3,7,7,6,7,7,7,2,3,6,2,1,7,5,7,7,7,NA
13,224AA,SG/AS/ASS/DS,E,18.05.2023,12:31:00,12:42:00,ABR/JS,7,7,2,7,2,7,7,4,7,6,7,4,7,7,7,4,7,7,7,1,7,7,2,2,7,7,7,7,6,7,7,7,7,1,4,7,7,7,7,7,NA
14,789AU,AS/SG,E,18.05.2023,14:30:00,14:49:00,ASS,5,6,2,5,2,5,5,4,5,2,6,3,5,6,5,2,2,5,1,1,3,6,3,5,6,7,7,7,3,3,5,5,5,3,3,5,4,6,6,3,NA
15,888OI,ABR/JS,E,18.05.2023,14:34:00,14:49:00,ABR/JS,7,2,1,3,1,7,4,1,5,1,3,2,2,2,7,1,3,5,7,1,2,2,1,1,4,1,7,6,2,7,1,7,2,1,1,7,6,5,1,3,NA
16,134UA,ABR/JS,E,18.05.2023,14:34:00,14:52:00,ABR/JS,6,2,4,6,1,6,5,1,7,1,6,1,6,3,3,2,3,5,7,2,7,4,1,7,7,7,7,7,7,7,7,7,7,4,1,5,7,7,7,6,NA
17,744DA,JS/AS/DS,E,19.05.2023,10:33:00,10:45:00,ABR/JS,7,7,1,7,4,7,7,6,7,6,7,7,7,7,3,7,7,7,7,1,7,7,7,7,7,7,7,7,1,7,7,7,7,1,7,7,7,7,7,1,"Hay frases gramaticalmente coherentes pero sin sentido que suenan bien y mal a la vez. La falta de la prep. a frente al CD de persona es bastante grave, me seuna bastante mal. No sé lo que es turbar así que lo he interpretado como el verbo de turbio, aunque le falta el pefijo ""en"", y con el sentido de volver algo sospechoso."
18,321OA,ABR/JS/SG/DS,S,19.05.2023,10:25:00,10:44:00,ASS,6,3,3,7,5,6,6,6,6,5,4,4,7,6,4,6,5,4,7,5,6,6,6,6,4,7,6,5,3,6,5,5,5,2,4,6,5,6,6,4,Nope. 
19,733MV,ABR/JS/SG/DS,S,19.05.2023,10:28:00,10:42:00,ASS,7,4,1,7,1,7,7,2,7,1,7,2,2,7,7,3,5,6,7,2,7,6,1,7,7,6,7,7,4,7,6,6,7,1,1,7,7,7,5,6,"e calificado oraciones con faltas de ortogradia ómo muy raras. A parte de ello, el combio de órden común de palabras en oraciones cómo ""A lo montano huele la vaca"" también e he hecho puntar más baja. "
20,285RO,SG/AS/TE/DS,S,19.05.2023,11:12:00,11:30:00,SG,6,1,1,6,2,7,4,3,5,1,4,1,5,6,7,2,2,2,5,3,5,4,2,5,3,3,7,3,4,3,7,6,3,2,2,5,3,7,2,5,No hay mucha coherencia entre el sujeto y el predicado (género y número). Ciertas not as no son mayores porque no son expresiones que se usen normalmente.
21,123EA,ABR/JS/AS/SG,S,19.05.2023,10:22:00,10:37:00,ABR/JS,6,5,1,5,4,6,3,5,5,3,2,1,3,2,5,2,4,4,6,2,5,2,3,4,4,5,4,6,5,5,4,4,4,2,3,5,2,4,4,4,NA
22,SF0105,JS/ABR,S,19.05.2023,10:24:00,10:37:00,ABR/JS,7,7,2,5,3,7,7,3,6,2,6,5,5,7,7,2,5,5,7,2,7,7,2,2,7,7,7,7,6,7,6,7,7,3,2,7,7,6,6,7,NA
23,333AA,ASS/AS/SG,S,19.05.2023,12:51:00,13:13:00,ASS,7,7,1,X,3,7,7,6,5,6,7,1,7,7,7,5,7,7,7,1,7,4,5,4,7,7,7,7,5,7,5,7,7,1,6,7,7,7,5,7,"Creo que sería necesario especificar las opciones para eligir entre 'muy mala' y 'perfecta'. Además, considera que puntuar ya que la construcción lingüistica es conecta pero el contenido no tiene sentido, como en el case de: 'La abeja empuja al salón'."
24,381AO,AS/SG/ASS,S,19.05.2023,12:51:00,13:17:00,SG,7,5,1,5,3,7,7,6,7,7,7,1,7,7,6,3,6,4,7,1,7,3,3,4,7,7,7,7,1,7,7,6,4,1,3,7,6,7,4,7,"El enunciado me parece ambiguo. Today las oraciones me parecen estrañas, necesitaría un poco más de contexto."
25,187OO,ASS/AS/SG,S,19.05.2023,12:51:00,13:15:00,AS,7,2,2,4,3,6,5,6,7,1,6,6,5,6,7,3,6,7,7,1,7,7,6,6,7,7,7,7,6,7,6,7,7,1,2,7,2,7,7,7,"Se podría especificar qué se está juzgado, si és que la oración este bien construido o que también tenga sentido (?)ed"
